PR ID,L0 Level,Reported Problem Code L1,Reported Problem Code L2,Reported Problem Code L3,Translated Short Description,Translated Description,Coding Table Revision
3448504,Software,"Software, OS or firmware","Installation, migration, and upgrades/updates",Could not migrate or install,Installation of Philips Intellispace Portal Client fails,"Issue: Malfunction
Description of error: One tries to install the Philips Intellispace portal client on the new Windows server 2019 terminal server and fails in the process.
The installation with the help of the IspClient_ispserver_443_1.exe fails with the error message in the log:

2023-May-24 14:20:20 - Start ISP Client Agent: '\\netapp1\appdata-install\KDTOPv3\Software Terminalserver\48-IntelliSpacePortal\IspClient_ispserver_443_1.exe'
2023-May-24 14:20:20 - Download file 'https://ispserver:443/WebClientInstaller/Setup/ispserver_443_1/Portal_Client_Release.zip'
2023-May-24 14:20:20 - Downloading file from uri: 'https://ispserver/WebClientInstaller/Setup/ispserver_443_1/Portal_Client_Release.zip'
2023-May-24 14:20:20 - File 'https://ispserver:443/WebClientInstaller/Setup/ispserver_443_1/Portal_Client_Release.zip' download failed. Error: Exception error during a web client request.


If you then download Portal_Client_Release.zip manually, unpack and execute Portal_Client.exe, then the installation fails with the following log:

[03B0:1E34] [2023-05-24T14:19:29]i001: Burn v3.11.2.4516, Windows v10.0 (Build 17763: Service Pack 0), path: C:\Users\T2-CIT~1\AppData\Local\Temp\{6E339016-B522-45BC-A23B-FA26ADF9EF15}\.cr\Portal_Client.exe
[03B0:1E34] [2023-05-24T14:19:29]i000: Initializing string variable 'SERVER_ADDRESS' to value '{}'
[03B0:1E34] [2023-05-24T14:19:29]i000: Initializing string variable 'AUTH_PORT' to value '{}'
[03B0:1E34] [2023-05-24T14:19:29]i000: Initializing string variable 'AUTH_USE_HTTPS' to value '{}'
[03B0:1E34] [2023-05-24T14:19:29]i000: Initializing string variable 'ISO_VERSION' to value '{}'
[03B0:1E34] [2023-05-24T14:19:29]i000: Initializing string variable 'MSIINSTALLPERUSER' to value '{}'
[03B0:1E34] [2023-05-24T14:19:29]i000: Initializing numeric variable 'ALLUSERS' to value '1'
[03B0:1E34] [2023-05-24T14:19:29]i000: Initializing string variable 'APPFOLDER' to value 'WixPerMachineFolder'
[03B0:1E34] [2023-05-24T14:19:29]i000: Initializing string variable 'APPLICATIONFOLDER' to value 'WixPerMachineFolder'
[03B0:1E34] [2023-05-24T14:19:29]i000: Initializing string variable 'INSTALLDIR' to value '[ProgramFilesFolder]Philips Intellispace Portal'
[03B0:1E34] [2023-05-24T14:19:29]i000: Initializing numeric variable 'PORTAL_INSTALLED' to value '0'
[03B0:1E34] [2023-05-24T14:19:29]i000: Initializing numeric variable 'PORTAL_INSTALL_IN_PROGRESS' to value '0'
[03B0:1E34] [2023-05-24T14:19:29]i000: Initializing numeric variable 'PORTAL_UNINSTALL_IN_PROGRESS' to value '0'
[03B0:1E34] [2023-05-24T14:19:29]i009: Command Line: '""-burn.clean.room=\\netapp1\appdata-install\KDTOPv3\Software Terminalserver\48-IntelliSpacePortal\Portal_Client_Release\Portal_Client.exe"" -burn.filehandle.attached=924 -burn.filehandle.self=936'
[03B0:1E34] [2023-05-24T14:19:29]i000: Setting string variable 'WixBundleOriginalSource' to value '\\netapp1\appdata-install\KDTOPv3\Software Terminalserver\48-IntelliSpacePortal\Portal_Client_Release\Portal_Client.exe'
[03B0:1E34] [2023-05-24T14:19:29]i000: Setting string variable 'WixBundleOriginalSourceFolder' to value '\\netapp1\appdata-install\KDTOPv3\Software Terminalserver\48-IntelliSpacePortal\Portal_Client_Release\'
[03B0:1E34] [2023-05-24T14:19:29]i000: Setting string variable 'WixBundleLog' to value 'C:\Users\T2-CIT~1\AppData\Local\Temp\Portal Client_20230524141929.log'
[03B0:1E34] [2023-05-24T14:19:29]i000: Setting string variable 'WixBundleName' to value 'Portal Client'
[03B0:1E34] [2023-05-24T14:19:29]i000: Setting string variable 'WixBundleManufacturer' to value 'Philips'
[03B0:1E34] [2023-05-24T14:19:29]i000: Loading managed bootstrapper application.
[03B0:1E34] [2023-05-24T14:19:29]i000: Creating BA thread to run asynchronously.
[03B0:19A4] [2023-05-24T14:19:29]i000: Initiated Model
[03B0:19A4] [2023-05-24T14:19:29]i000: Initiated rootViewModel
[03B0:1E34] [2023-05-24T14:19:29]i100: Detect begin, 2 packages
[03B0:1E34] [2023-05-24T14:19:29]i000: Start Detect Begin is bundle installed: False. WixBundleInstalled: 0
[03B0:1E34] [2023-05-24T14:19:29]i000: Resume Type: None.
[03B0:1E34] [2023-05-24T14:19:29]i000: Relation Type: None.
[03B0:1E34] [2023-05-24T14:19:29]i000: Restart: Prompt.
[03B0:1E34] [2023-05-24T14:19:29]i000: Launch Action: Install
[03B0:1E34] [2023-05-24T14:19:29]i000: Start setting Properties QA view
[03B0:1E34] [2023-05-24T14:19:29]i000: PORTAL_INSTALLED: 0
[03B0:1E34] [2023-05-24T14:19:29]i000: PORTAL_INSTALL_IN_PROGRESS: 0
[03B0:1E34] [2023-05-24T14:19:29]i000: PORTAL_UNINSTALL_IN_PROGRESS: 0
[03B0:1E34] [2023-05-24T14:19:30]i000: End Detect Begin. Result: None
[03B0:1E34] [2023-05-24T14:19:30]i000: Setting string variable 'NETFRAMEWORK40' to value '1'
[03B0:1E34] [2023-05-24T14:19:30]i000: DetectPackageBegin. PackageId: NetFx40Redist. Result: None
[03B0:1E34] [2023-05-24T14:19:30]i052: Condition 'NETFRAMEWORK40' evaluates to true.
[03B0:1E34] [2023-05-24T14:19:30]i000: DetectPackageComplete. PackageId: NetFx40Redist. State: Present. Status: 0
[03B0:1E34] [2023-05-24T14:19:30]i000: DetectPackageBegin. PackageId: Portal_Client. Result: None
[03B0:1E34] [2023-05-24T14:19:30]w120: Detected partially cached package: Portal_Client, invalid wipe: Portal_Client, reason: 0x80070002
[03B0:1E34] [2023-05-24T14:19:30]i000: DetectPackageComplete. PackageId: Portal_Client. State: Absent. Status: 0
[03B0:1E34] [2023-05-24T14:19:30]i101: Detected package: NetFx40Redist, state: Present, cached: None
[03B0:1E34] [2023-05-24T14:19:30]i101: Detected package: Portal_Client, state: Absent, cached: Partial
[03B0:1E34] [2023-05-24T14:19:30]i000: Start Detect Complete
[03B0:1E34] [2023-05-24T14:19:30]i000: Is Upgrade: False
[03B0:1E34] [2023-05-24T14:19:30]i000: PORTAL_INSTALL_IN_PROGRESS: 0
[03B0:1E34] [2023-05-24T14:19:30]i000: Detect Complete:
[03B0:1E34] [2023-05-24T14:19:30]i000: Detect complete status: 0
[03B0:1E34] [2023-05-24T14:19:30]i000: End Detect Complete
[03B0:1E34] [2023-05-24T14:19:30]i199: Detect complete, result: 0x0
[03B0:19A4] [2023-05-24T14:19:32]i000: Setting string variable 'MSIINSTALLPERUSER' to value '{}'
[03B0:19A4] [2023-05-24T14:19:32]i000: Setting string variable 'APPFOLDER' to value '[WixPerMachineFolder]'
[03B0:19A4] [2023-05-24T14:19:32]i000: Setting string variable 'APPLICATIONFOLDER' to value '[WixPerMachineFolder]'
[03B0:19A4] [2023-05-24T14:19:32]i000: Setting string variable 'INSTALLDIR' to value 'C:\Program Files (x86)\Philips IntelliSpace Portal'
[03B0:19A4] [2023-05-24T14:19:32]i000: Setting string variable 'SERVER_ADDRESS' to value 'ispserver'
[03B0:19A4] [2023-05-24T14:19:32]i000: Setting string variable 'AUTH_PORT' to value '443'
[03B0:19A4] [2023-05-24T14:19:32]i000: Setting string variable 'AUTH_USE_HTTPS' to value 'True'
[03B0:19A4] [2023-05-24T14:19:32]i000: Setting string variable 'ISO_VERSION' to value '11.1.3.11608'
[03B0:19A4] [2023-05-24T14:19:32]i000: Setting numeric variable 'ALLUSERS' to value 1
[03B0:19A4] [2023-05-24T14:19:32]i000: Setting numeric variable 'DISABLEREPAIR' to value 0
[03B0:19A4] [2023-05-24T14:19:32]i000: Setting numeric variable 'DISABLEMODIFY' to value 0
[03B0:19A4] [2023-05-24T14:19:32]i000: Setting PORTAL_INSTALL_IN_PROGRESS to 1
[03B0:19A4] [2023-05-24T14:19:32]i000: Setting numeric variable 'PORTAL_INSTALL_IN_PROGRESS' to value 1
[03B0:1E34] [2023-05-24T14:19:32]i200: Plan begin, 2 packages, action: Install
[03B0:1E34] [2023-05-24T14:19:32]i000: PlanBegin. Package Count: 2nd Result: None
[03B0:1E34] [2023-05-24T14:19:32]i000: PlanPackageBegin. PackageId: NetFx40Redist. State: Present. Result: None.
[03B0:1E34] [2023-05-24T14:19:32]w321: Skipping dependency registration on package with no dependency providers: NetFx40Redist
[03B0:1E34] [2023-05-24T14:19:32]i000: PlanPackageComplete. Execute: None. PackageId: NetFx40Redist. Requested: Present. Rollback: None. State: Present
[03B0:1E34] [2023-05-24T14:19:32]i000: PlanPackageBegin. PackageId: Portal_Client. State: Present. Result: None.
[03B0:1E34] [2023-05-24T14:19:32]i000: Setting string variable 'WixBundleRollbackLog_Portal_Client' to value 'C:\Users\T2-CIT~1\AppData\Local\Temp\Portal Client_20230524141929_000_Portal_Client_rollback.log'
[03B0:1E34] [2023-05-24T14:19:32]i000: Setting string variable 'WixBundleLog_Portal_Client' to value 'C:\Users\T2-CIT~1\AppData\Local\Temp\Portal Client_20230524141929_000_Portal_Client.log'
[03B0:1E34] [2023-05-24T14:19:32]i000: PlanPackageComplete. Execute: Install. PackageId: Portal_Client. Requested: Present. Rollback: Uninstall. State: Absent
[03B0:1E34] [2023-05-24T14:19:32]i201: Planned package: NetFx40Redist, state: Present, default requested: Present, ba requested: Present, execute: None, rollback: None, cache: No, uncache: No, dependency: None
[03B0:1E34] [2023-05-24T14:19:32]i201: Planned package: Portal_Client, state: Absent, default requested: Present, ba requested: Present, execute: Install, rollback: Uninstall, cache: Yes, uncache: Yes, dependency: Register
[03B0:1E34] [2023-05-24T14:19:32]i000: Plan Complete. Restart: Prompt. Resume: None.
[03B0:1E34] [2023-05-24T14:19:32]i299: Plan complete, result: 0x0
[03B0:1E34] [2023-05-24T14:19:32]i300: Apply begin
[03B0:1E34] [2023-05-24T14:19:32]i010: Elevate elevated engine process.
[03B0:1E34] [2023-05-24T14:19:35]i011: Launch elevated engine process.
[03B0:1E34] [2023-05-24T14:19:35]i012: Connected to elevated engine.
[2748:1DBC] [2023-05-24T14:19:35]i358: Pausing automatic updates.
[2748:1DBC] [2023-05-24T14:19:35]i359: Paused automatic updates.
[2748:1DBC] [2023-05-24T14:19:35]i360: Creating a system restore point.
[2748:1DBC] [2023-05-24T14:19:35]i362: System restore disabled, system restore point not created.
[03B0:1E34] [2023-05-24T14:19:35]i000: RegisterBegin. Result: None
[2748:1DBC] [2023-05-24T14:19:35]i370: Session begin, registration key: SOFTWARE\Microsoft\Windows\CurrentVersion\Uninstall\{2b848b7b-832f-46a2-85d7-b4366b439b56}, options: 0x7, disable resume: No
[2748:1DBC] [2023-05-24T14:19:35]i000: Caching bundle from: 'C:\Users\T2-CIT~1\AppData\Local\Temp\{A7648463-88DD-4D19-84EA-C164388E9AD9}\.be\Portal_Client.exe' to: 'C:\ProgramData\Package Cache\{2b848b7b-832f-46a2-85d7-b4366b439b56}\Portal_Client.exe'
[2748:1DBC] [2023-05-24T14:19:35]i320: Registering bundle dependency provider: {2b848b7b-832f-46a2-85d7-b4366b439b56}, version: 11.2.40.6891
[2748:1DBC] [2023-05-24T14:19:35]i371: Updating session, registration key: SOFTWARE\Microsoft\Windows\CurrentVersion\Uninstall\{2b848b7b-832f-46a2-85d7-b4366b439b56}, resume: Active, restart initiated: No, disable resume: No
[03B0:1E34] [2023-05-24T14:19:35]i000: RegisterComplete. Status: 0.
[03B0:1D44] [2023-05-24T14:19:36]i000: CacheVerifyBegin. PackageId: Portal_Client. NodeId: Portal_Client. Result: None.
[2748:2628] [2023-05-24T14:19:38]e000: Error 0x800b0101: Failedode verification of certificate: C:\ProgramData\Package Cache\.unverified\Portal_Client
[2748:2628] [2023-05-24T14:19:38]e000: Error 0x800b0101: Failed to verify signature of section: Portal_Client
[2748:2628] [2023-05-24T14:19:38]e310: Failed to verify section: Portal_Client at path: C:\ProgramData\Package Cache\.unverified\Portal_Client, error: 0x800b0101. Deleting file.
[2748:2628] [2023-05-24T14:19:38]e000: Error 0x800b0101: Failed to cache section: Portal_Client
[03B0:1D44] [2023-05-24T14:19:38]i000: CacheVerifyComplete. PackageId: Portal_Client. NodeId: Portal_Client. Result: TryAgain. Status: -2146762495
[03B0:1D44] [2023-05-24T14:19:38]e314: Failed to cache section: Portal_Client from working path: C:\Users\T2-CIT~1\AppData\Local\Temp\{A7648463-88DD-4D19-84EA-C164388E9AD9}\Portal_Client, error: 0x800b0101.
[03B0:1D44] [2023-05-24T14:19:38]e349: Application requested retry of section: Portal_Client, encountered error: 0x800b0101. Retrying...
[03B0:1D44] [2023-05-24T14:19:39]i000: CacheVerifyBegin. PackageId: Portal_Client. NodeId: Portal_Client. Result: None.
[2748:2628] [2023-05-24T14:19:40]e000: Error 0x800b0101: Failedode verification of certificate: C:\ProgramData\Package Cache\.unverified\Portal_Client
[2748:2628] [2023-05-24T14:19:40]e000: Error 0x800b0101: Failed to verify signature of section: Portal_Client
[2748:2628] [2023-05-24T14:19:40]e310: Failed to verify section: Portal_Client at path: C:\ProgramData\Package Cache\.unverified\Portal_Client, error: 0x800b0101. Deleting file.
[2748:2628] [2023-05-24T14:19:40]e000: Error 0x800b0101: Failed to cache section: Portal_Client
[03B0:1D44] [2023-05-24T14:19:40]i000: CacheVerifyComplete. PackageId: Portal_Client. NodeId: Portal_Client. Result: TryAgain. Status: -2146762495
[03B0:1D44] [2023-05-24T14:19:40]e314: Failed to cache section: Portal_Client from working path: C:\Users\T2-CIT~1\AppData\Local\Temp\{A7648463-88DD-4D19-84EA-C164388E9AD9}\Portal_Client, error: 0x800b0101.
[03B0:1D44] [2023-05-24T14:19:40]e349: Application requested retry of section: Portal_Client, encountered error: 0x800b0101. Retrying...
[03B0:1D44] [2023-05-24T14:19:41]i000: CacheVerifyBegin. PackageId: Portal_Client. NodeId: Portal_Client. Result: None.
[2748:2628] [2023-05-24T14:19:42]e000: Error 0x800b0101: Failedode verification of certificate: C:\ProgramData\Package Cache\.unverified\Portal_Client
[2748:2628] [2023-05-24T14:19:42]e000: Error 0x800b0101: Failed to verify signature of section: Portal_Client
[2748:2628] [2023-05-24T14:19:42]e310: Failed to verify section: Portal_Client at path: C:\ProgramData\Package Cache\.unverified\Portal_Client, error: 0x800b0101. Deleting file.
[2748:2628] [2023-05-24T14:19:42]e000: Error 0x800b0101: Failed to cache section: Portal_Client
[03B0:1D44] [2023-05-24T14:19:42]i000: CacheVerifyComplete. PackageId: Portal_Client. NodeId: Portal_Client. Result: None. Status: -2146762495
[03B0:1D44] [2023-05-24T14:19:42]e314: Failed to cachecharge: Portal_Client from working path: C:\Users\T2-CIT~1\AppData\Local\Temp\{A7648463-88DD-4D19-84EA-C164388E9AD9}\Portal_Client, error: 0x800b0101.
[03B0:1D44] [2023-05-24T14:19:42]i000: CacheComplete. Status: -2146762495
[03B0:1E34] [2023-05-24T14:19:42]e000: Error 0x800b0101: Failed while caching, aborting execution.
[03B0:1E34] [2023-05-24T14:19:42]i000: UnregisterBegin
[2748:1DBC] [2023-05-24T14:19:42]i372: Session end, registration key: SOFTWARE\Microsoft\Windows\CurrentVersion\Uninstall\{2b848b7b-832f-46a2-85d7-b4366b439b56}, resume: None, restart: None, disable resume: No
[2748:1DBC] [2023-05-24T14:19:42]i330: Removed bundle dependency provider: {2b848b7b-832f-46a2-85d7-b4366b439b56}
[2748:1DBC] [2023-05-24T14:19:42]i352: Removing cached bundle: {2b848b7b-832f-46a2-85d7-b4366b439b56}, from path: C:\ProgramData\Package Cache\{2b848b7b-832f-46a2-85d7-b4366b439b56}\
[2748:1DBC] [2023-05-24T14:19:42]i371: Updating session, registration key: SOFTWARE\Microsoft\Windows\CurrentVersion\Uninstall\{2b848b7b-832f-46a2-85d7-b4366b439b56}, resume: None, restart initiated: No, disable resume: No
[03B0:1E34] [2023-05-24T14:19:42]i000: UnregisterComplete Status: 0
[03B0:1E34] [2023-05-24T14:19:42]i000: State: Finished
[03B0:1E34] [2023-05-24T14:19:42]i000: Exit mode: Failure
[03B0:1E34] [2023-05-24T14:19:42]i399: Apply complete, result: 0x800b0101, restart: None, ba requested restart: No
[03B0:1E34] [2023-05-24T14:20:08]i500: Shutting down, exit code: 0x800b0101
[03B0:1E34] [2023-05-24T14:20:08]i000: Shutdown: Result: None. State: Finished
[03B0:1E34] [2023-05-24T14:20:08]i000: The View on shutdown: Interrupt
[03B0:1E34] [2023-05-24T14:20:08]i000: Shutdown: Result: None. State: Finished. WixBundleInstalled: 0
[03B0:1E34] [2023-05-24T14:20:08]i000: wixBundleLog: C:\Users\T2-CIT~1\AppData\Local\Temp\Portal Client_20230524141929.log
[03B0:1E34] [2023-05-24T14:20:08]i410: Variable: ALLUSERS = 1
[03B0:1E34] [2023-05-24T14:20:08]i410: Variable: APPFOLDER =
[03B0:1E34] [2023-05-24T14:20:08]i410: Variable: APPLICATION FOLDER =
[03B0:1E34] [2023-05-24T14:20:08]i410: Variable: AUTH_PORT = 443
[03B0:1E34] [2023-05-24T14:20:08]i410: Variable: AUTH_USE_HTTPS = True
[03B0:1E34] [2023-05-24T14:20:08]i410: Variable: DISABLEMODIFY = 0
[03B0:1E34] [2023-05-24T14:20:08]i410: Variable: DISABLEREPAIR = 0
[03B0:1E34] [2023-05-24T14:20:08]i410: Variable: INSTALLDIR = C:\Program Files (x86)\Philips IntelliSpace Portal
[03B0:1E34] [2023-05-24T14:20:08]i410: Variable: ISO_VERSION = 11.1.3.11608
[03B0:1E34] [2023-05-24T14:20:08]i410: Variable: MSIINSTALLPERUSER =
[03B0:1E34] [2023-05-24T14:20:08]i410: Variable: NETFRAMEWORK40 = 1
[03B0:1E34] [2023-05-24T14:20:08]i410: Variable: PORTAL_INSTALL_IN_PROGRESS = 1
[03B0:1E34] [2023-05-24T14:20:08]i410: Variable: PORTAL_INSTALLED = 0
[03B0:1E34] [2023-05-24T14:20:08]i410: Variable: PORTAL_UNINSTALL_IN_PROGRESS = 0
[03B0:1E34] [2023-05-24T14:20:08]i410: Variable: ProgramFilesFolder = C:\Program Files (x86)\
[03B0:1E34] [2023-05-24T14:20:08]i410: Variable: SERVER_ADDRESS = ispserver
[03B0:1E34] [2023-05-24T14:20:08]i410: Variable: WixBundleAction = 5
[03B0:1E34] [2023-05-24T14:20:08]i410: Variable: WixBundleElevated = 1
[03B0:1E34] [2023-05-24T14:20:08]i410: Variable: WixBundleInstalled = 0
[03B0:1E34] [2023-05-24T14:20:08]i410: Variable: WixBundleLog = C:\Users\T2-CIT~1\AppData\Local\Temp\Portal Client_20230524141929.log
[03B0:1E34] [2023-05-24T14:20:08]i410: Variable: WixBundleLog_Portal_Client = C:\Users\T2-CIT~1\AppData\Local\Temp\Portal Client_20230524141929_000_Portal_Client.log
[03B0:1E34] [2023-05-24T14:20:08]i410: Variable: WixBundleManufacturer = Philips
[03B0:1E34] [2023-05-24T14:20:08]i410: Variable: WixBundleName = Portal Client
[03B0:1E34] [2023-05-24T14:20:08]i410: Variable: WixBundleOriginalSource = \\netapp1\appdata-install\KDTOPv3\Software Terminalserver\48-IntelliSpacePortal\Portal_Client_Release\Portal_Client.exe
[03B0:1E34] [2023-05-24T14:20:08]i410: Variable: WixBundleOriginalSourceFolder = \\netapp1\appdata-install\KDTOPv3\Software Terminalserver\48-IntelliSpacePortal\Portal_Client_Release\
[03B0:1E34] [2023-05-24T14:20:08]i410: Variable: WixBundleProviderKey = {2b848b7b-832f-46a2-85d7-b4366b439b56}
[03B0:1E34] [2023-05-24T14:20:08]i410: Variable: WixBundleRollbackLog_Portal_Client = C:\Users\T2-CIT~1\AppData\Local\Temp\Portal Client_20230524141929_000_Portal_Client_rollback.log
[03B0:1E34] [2023-05-24T14:20:08]i410: Variable: WixBundleSourceProcessFolder = \\netapp1\appdata-install\KDTOPv3\Software Terminalserver\48-IntelliSpacePortal\Portal_Client_Release\
[03B0:1E34] [2023-05-24T14:20:08]i410: Variable: WixBundleSourceProcessPath = \\netapp1\appdata-install\KDTOPv3\Software Terminalserver\48-IntelliSpacePortal\Portal_Client_Release\Portal_Client.exe
[03B0:1E34] [2023-05-24T14:20:08]i410: Variable: WixBundleTag =
[03B0:1E34] [2023-05-24T14:20:08]i410: Variable: WixBundleUILevel = 4
[03B0:1E34] [2023-05-24T14:20:08]i410: Variable: WixBundleVersion = 11.2.40.6891",A
3448611,Software,"Software, OS or firmware","Installation, migration, and upgrades/updates","Could not upgrade, update, patch",Software Update - Observation: SW update for the latest versions V12.,Software update - Note: Software update to the most recent version V12.,A
3448666,Software,Alarms or Messages,"Audio/ Visual alarm/ Message displayed, not sent and/or received",Error/Warning Message or error code,"From an error ""certified error"".","It displayed the error ""certificate error"".",A
3448728,Software,"Data (Analysis, Processing, Transferring, Archiving)",Data did not transfer/ could not be archived,Could not initiate data transfer,Error in image submission. From CT System to Workstation,"Issue: Malfunction
Error description: During image transmission. From CT system to workstation check. The images land in THE PACS from the CT",A
3448934,Software,"Data (Analysis, Processing, Transferring, Archiving)","Incorrect, inaccurate, imprecise, or unexpected result","Data not stored or missing data, portion of data or did not provide result",Patients data cannot be included in the local,"Issue: Malfunction
Description of malfunction: 
Patient data cannot be recorded in local
Error occurred on: 25.05.2023",A
3448962,Software,"Data (Analysis, Processing, Transferring, Archiving)",Data did not transfer/ could not be archived,Data does not export,Subject: Can't send anything to the Pacs anymore.,"Issue: Malfunction
Error description: Issue: Malfunction
Error description: Cannot send anything to pacs anymore. Check nodes?",A
3448966,Software,"Software, OS or firmware","Cannot login (user name and/or password), disabled or locked",Single User,Login to the ISP does not work anymore,"Issue: Malfunction
Error description: Unfortunately, the customer cannot log in to the ISP anymore with his domain users.
- It was installed in the ISP in the domain: BK and the user groups from the domain BK were synchronized in the portal manager in the groups as authorization groups.
- Now have to migrate to the domain EVV (the association).
- On the old computers in the BK domain, everything still seems to work. 
- With new computers that are in the EVV domain, the login does not work.
- A group ISP was created in the new AD and saved in the portal manager under groups.
- During login to the client, the customer can also enter EVV as approval instance and it still does not work. (It also does not work with the approval instance BK.)
- Request for support
Error message:-
Error occurred on: 24.05.23",A
3449260,Software,"Software, OS or firmware","Installation, migration, and upgrades/updates",Could not migrate or install,v10 Client not uninstalling correctly,"Escalation as described by Sean Mccready (L3):
1.An escalation for the original issue of the v10 client not uninstalling correctly
   a. This was found the be the cause of the 12.1.5 install issue
   b. Another session is scheduled for tomorrow to work on this issue.",A
3449289,Software,"Software, OS or firmware","Software & OS performance (frozen, delayed, slow, failed start/launched.)",Not starting or launching (failure to start up or launch),12.1.6 client failing when the machine PowerShell executionpolicy is set to AllSigned,"Issue as described by Sean Mccready (L3)
2. An escalation for the 12.1.6 client failing when the machine PowerShell executionpolicy is set to AllSigned
     a. This issue was replicated in lab and ready to go to R&D. I just need the escalation to do so
     b. The workaround is for the customer to autoupdate to 12.1.6 and 12.1.7 instead of pushing the msi",A
3449381,Software,"Data (Analysis, Processing, Transferring, Archiving)",Data did not transfer/ could not be archived,Data transfer interrupted or stopped,VIP-Angels-The team does not receive echocardiographers files,VIP-ANGELES-THE EQUIPMENT DOES NOT RECEIVE ECHOCARDIOGRAPH FILES,A
3449815,Software,"Data (Analysis, Processing, Transferring, Archiving)","Incorrect, inaccurate, imprecise, or unexpected result",Displayed data is inaccurate,ISP12 CT BP Summary map gives results which doesn't align with the pre contrast study.,"Issue as described by Diana Wisler:
Neuro Radiologist disagreeing with ISP results",A
3449998,Software,"Software, OS or firmware","Software & OS performance (frozen, delayed, slow, failed start/launched.)",Not starting or launching (failure to start up or launch),ISP: customer requesting Windows Server activation,ISP: customer requesting Windows Server activation,A
3450198,Software,"Software, OS or firmware","Software & OS performance (frozen, delayed, slow, failed start/launched.)",Not starting or launching (failure to start up or launch),ECT toolbox won't open-gets to 100% and just sits,ECT toolbox won't open-gets to 100% and just sits-may be machine dependent,A
3450356,Software,"Software, OS or firmware","Software & OS performance (frozen, delayed, slow, failed start/launched.)",Slow performance or delayed or slow to boot up,Fix speed issues with existing DynaCAD issues,"DynaCAD Speed / Reporting Issues.
The overall speed of the case / image loading is very very slow
Some of the images partly load / render, some not at all
For the loaded images, manipulation or rotation is very slow and often leads to a breakdown in the image quality
The usability / remote reporting has become unusable.",A
3450678,Software,"Software, OS or firmware","Software & OS performance (frozen, delayed, slow, failed start/launched.)",Not starting or launching (failure to start up or launch),Portal Error,"WE got the attached error in Portal while using the CT Viewer application in Portal.

Bug Report done. Error occurred around 8:45am today. Screenshot attached. Bug report done.",A
3451862,Software,"Software, OS or firmware","Software & OS performance (frozen, delayed, slow, failed start/launched.)",Slow performance or delayed or slow to boot up,01/IntelliSpace IX/LX Workstations/Slow software running speed,01/IntelliSpace IX/LX Workstations/Slow software running speed,A
3452791,Software,Alarms or Messages,"Audio/ Visual alarm/ Message displayed, not sent and/or received",Error/Warning Message or error code,FM is displayed when evaluating kidneys,"Issue: Malfunction
Description of error: When evaluating kidneys, error message is displayed",A
3452916,Software,"Software, OS or firmware","Software & OS performance (frozen, delayed, slow, failed start/launched.)",Not starting or launching (failure to start up or launch),Doctor computer? it is not.,Doctor's computer is not opening.,A
3453099,Software,"Software, OS or firmware","Software & OS performance (frozen, delayed, slow, failed start/launched.)",Not starting or launching (failure to start up or launch),"The portal does not work on computer, they cannot open their studies","The portal does not work in the computer, they cannot open the studies",A
3453245,Software,"Data (Analysis, Processing, Transferring, Archiving)",Data did not transfer/ could not be archived,Data does not import,"The tail of the INSSTELLISPACE portal is collapsed, 14 on hold and 159 studies transferred with errors","The Instellispace Portal queue is collapsed, 14 are waiting and 159 studies transferred with errors.",A
3453401,Software,"Software, OS or firmware","Workflow, exam, settings, presets & configuration (incorrect, inability to change settings/config.)",Incorrect or inability to change settings or configuration,"without remote connection, when it turns off the equipment loses the configuration","Without remote connection, when turning off the equipment it looses the configuration",A
3453454,Software,"Data (Analysis, Processing, Transferring, Archiving)",Data did not transfer/ could not be archived,Data transfer interrupted or stopped,Unable to transfer data to workstation from console,Unable to transfer data to workstation from console,A
3453538,Software,"Software, OS or firmware","Cannot login (user name and/or password), disabled or locked",Single User,Unable to login in portal,Unable to login in portal,A
3453548,Software,"Data (Analysis, Processing, Transferring, Archiving)","Incorrect, inaccurate, imprecise, or unexpected result","Cannot add, edit or delete",experiencing a number of problems on the research server RMAPPS0877,"Experiencing a number of problems on the research server RMAPPS0877 - 

Now I can delete one study at a time. When I deleted 3 studies in a row, a message appears: ""server is closing down"". The same happens if I try to select 5 studies at once, then press delete. I must have deleted an entire project folder named ""Danicad2"", which has 700 studies in it. And some of the studies have over 10,000 images.",A
